2039,3444,  0.686804
2039,4477,  0.681909
2039,5236,  0.671044
2039,4892,  0.663174
2039,2126,  0.659242
2039,6415,  0.657571
1835,2039,  0.655896
2039,5139,  0.654599
2039,4077,  0.654370
1890,2039,  0.653911
1761,2039,  0.653299
2039,6735,  0.652687
2039,4599,  0.650000
28,2039,  0.649846
2039,4098,  0.649769
2039,2389,  0.647997
605,2039,  0.646065
910,2039,  0.645988
2039,2838,  0.645368
340,2039,  0.645058
2039,5933,  0.643117
2039,2044,  0.643040
2039,4489,  0.642417
2039,6405,  0.641950
2018,2039,  0.641171
1609,2039,  0.641093
2039,5782,  0.641015
2039,5043,  0.640469
1105,2039,  0.640469
2039,2176,  0.640234
2039,5102,  0.640156
581,2039,  0.640156
1156,2039,  0.639766
911,2039,  0.639218
2039,3096,  0.638984
1415,2039,  0.638436
1759,2039,  0.637338
2039,2752,  0.636396
2039,5800,  0.635453
2039,4172,  0.635216
1272,2039,  0.634114
2039,3581,  0.633877
2039,2815,  0.633640
2039,5983,  0.633167
2039,2064,  0.633009
2039,5735,  0.632614
2039,4420,  0.632297
2039,5514,  0.631902
2039,2765,  0.631823
2039,2381,  0.631664
2039,4677,  0.631664
1820,2039,  0.631585
2039,5989,  0.631189
1640,2039,  0.631031
2039,4543,  0.630952
917,2039,  0.630872
2039,4828,  0.630714
2039,3682,  0.630555
591,2039,  0.630238
1363,2039,  0.629841
2039,3563,  0.629762
2039,3807,  0.629762
2039,2740,  0.629603
10,2039,  0.629524
2039,2548,  0.629365
2039,5612,  0.629365
2039,2338,  0.629285
2039,5734,  0.629126
726,2039,  0.628808
1408,2039,  0.628490
1001,2039,  0.628411
2039,4177,  0.628411
2039,2980,  0.628331
1811,2039,  0.628252
1320,2039,  0.628252
1838,2039,  0.628252
2039,3004,  0.628172
2039,3845,  0.628013
2039,2145,  0.627853
2039,2357,  0.627853
1404,2039,  0.627774
1701,2039,  0.627375
2039,2763,  0.627296
2039,2296,  0.626817
2039,4350,  0.626658
2039,5706,  0.626498
1485,2039,  0.626418
2039,2430,  0.626259
2039,6181,  0.626099
1900,2039,  0.625939
2039,5050,  0.625939
2039,2301,  0.625859
2039,3150,  0.625780
2039,3019,  0.625620
253,2039,  0.625620
2039,5736,  0.625540
2039,4627,  0.625460
51,2039,  0.625380
2039,6850,  0.625220
2039,4602,  0.625060
2039,6059,  0.624980
2039,3242,  0.624340
2039,3997,  0.624099
2039,2223,  0.623859
1418,2039,  0.623779
2039,6190,  0.623538
2039,2648,  0.622495
2039,5784,  0.622334
857,2039,  0.622093
2039,6107,  0.621772
608,2039,  0.621772
972,2039,  0.621611
2039,5286,  0.621450
2039,4272,  0.621450
2039,5904,  0.621450
2039,4261,  0.621208
2039,2371,  0.621128
2039,3124,  0.621128
2039,2294,  0.621128
2039,2048,  0.621047
2039,4610,  0.620725
2039,6060,  0.620645
2039,3320,  0.620564
1205,2039,  0.620403
2039,2863,  0.620403
1898,2039,  0.620323
701,2039,  0.620322
2039,5075,  0.620242
1699,2039,  0.619516
2039,5695,  0.619435
294,2039,  0.618870
2039,4616,  0.618789
2039,4429,  0.618061
2039,2477,  0.617981
1432,2039,  0.617576
48,2039,  0.617576
2039,4943,  0.617495
2039,3149,  0.617495
1937,2039,  0.617414
668,2039,  0.617252
1366,2039,  0.617252
2039,2735,  0.617171
2039,2349,  0.617009
2039,4867,  0.617009
2039,4576,  0.616522
2039,5624,  0.616441
284,2039,  0.616279
286,2039,  0.615955
2039,4588,  0.615955
2039,4064,  0.615955
2039,3722,  0.615955
2039,4171,  0.615955
1613,2039,  0.615792
2039,3904,  0.615792
29,2039,  0.615792
2039,5179,  0.615711
2039,4607,  0.615711
2039,6991,  0.615630
1839,2039,  0.615630
2039,6001,  0.615467
2039,4222,  0.615224
1851,2039,  0.615061
2039,4836,  0.614980
1945,2039,  0.614573
2039,2083,  0.614410
2039,2600,  0.614329
2039,5228,  0.614329
1471,2039,  0.614329
2039,2810,  0.614003
2039,5330,  0.613759
2039,2043,  0.613677
2039,6598,  0.613433
2039,3252,  0.613270
155,2039,  0.613188
2039,6064,  0.613025
1605,2039,  0.612944
2039,5864,  0.612699
2039,4443,  0.612699
2039,4097,  0.612699
2039,4827,  0.612536
25,2039,  0.612454
2039,5742,  0.612372
2039,2893,  0.612291
2039,2122,  0.612209
587,2039,  0.612209
1740,2039,  0.612127
2039,3487,  0.612046
747,2039,  0.611882
891,2039,  0.611555
2039,3040,  0.611555
2039,6953,  0.611474
2039,6608,  0.611392
2039,2516,  0.611310
797,2039,  0.611065
2039,2191,  0.610983
2039,4559,  0.610819
2039,2584,  0.610819
2039,2074,  0.610655
2039,3087,  0.610492
2039,6776,  0.610410
2039,4961,  0.610410
2039,2057,  0.610328
2039,2395,  0.610328
2039,5929,  0.610246
2039,6123,  0.610082
2039,5329,  0.610082
2039,6614,  0.610082
2039,3781,  0.609918
2039,6653,  0.609918
2039,5324,  0.609918
2039,6916,  0.609754
2039,2756,  0.609672
2039,5395,  0.609590
157,2039,  0.609344
2039,4569,  0.609344
2039,4310,  0.609344
2039,4193,  0.609262
2039,2697,  0.609016
2039,4809,  0.608933
2039,2742,  0.608605
2039,5037,  0.608605
2039,5925,  0.608523
2039,3347,  0.608358
38,2039,  0.608358
2039,5857,  0.608276
1961,2039,  0.608276
2039,5534,  0.608194
2039,2224,  0.608112
883,2039,  0.608112
2039,3971,  0.607947
2039,7021,  0.607783
281,2039,  0.607783
2039,5563,  0.607618
2039,2140,  0.607536
2039,2507,  0.607536
1294,2039,  0.607454
2039,3733,  0.607289
2039,6512,  0.607289
2039,4648,  0.607207
2039,6085,  0.607124
2039,6809,  0.607042
2039,6683,  0.606960
2039,5240,  0.606960
2039,3045,  0.606795
1830,2039,  0.606712
1574,2039,  0.606630
2039,5155,  0.606383
2039,2522,  0.606300
2039,4299,  0.606300
2039,5928,  0.606218
133,2039,  0.606053
2039,2127,  0.605970
2039,2173,  0.605888
2039,5613,  0.605805
2039,2897,  0.605723
2039,6029,  0.605640
2039,3812,  0.605640
2039,6161,  0.605640
1594,2039,  0.605558
2039,6998,  0.605558
2039,7029,  0.605475
2039,3956,  0.605392
2039,2540,  0.605392
2039,4773,  0.605310
2039,4979,  0.605145
885,2039,  0.604897
682,2039,  0.604731
1909,2039,  0.604649
2039,5555,  0.604566
2039,2087,  0.604566
665,2039,  0.604483
2039,5073,  0.604401
2039,4033,  0.604318
1501,2039,  0.604235
2039,5493,  0.604152
2039,3034,  0.604152
1168,2039,  0.603987
2039,4427,  0.603904
169,2039,  0.603821
2039,5967,  0.603738
653,2039,  0.603656
2039,6667,  0.603656
2039,6674,  0.603656
1968,2039,  0.603490
2039,6993,  0.603324
305,2039,  0.603158
142,2039,  0.603158
197,2039,  0.603075
1960,2039,  0.603075
1260,2039,  0.602910
2039,4672,  0.602910
2039,4463,  0.602827
2039,5747,  0.602744
2039,3630,  0.602744
1670,2039,  0.602661
2039,2690,  0.602661
2039,4444,  0.602578
2039,2556,  0.602578
912,2039,  0.602495
2039,2492,  0.602495
2039,2177,  0.602329
2039,5867,  0.602329
1358,2039,  0.602329
2039,6050,  0.602080
739,2039,  0.601831
789,2039,  0.601581
14,2039,  0.601498
1233,2039,  0.601249
2039,4573,  0.601249
2039,4456,  0.601166
1431,2039,  0.601082
2039,5414,  0.601082
2039,5449,  0.600999
122,2039,  0.600916
2039,5237,  0.600833
2039,2866,  0.600750
2039,2398,  0.600749
2039,2564,  0.600749
2039,6399,  0.600666
2039,5247,  0.600583
2039,3861,  0.600500
2039,3981,  0.600416
2039,6733,  0.600167
2039,5420,  0.600083
2039,3675,  0.600083
743,2039,  0.599917
2039,4059,  0.599833
2039,2705,  0.599833
872,2039,  0.599833
2039,5161,  0.599833
1183,2039,  0.599750
2039,2831,  0.599667
2039,6429,  0.599583
2039,3870,  0.599416
2039,6986,  0.599416
2039,3046,  0.599333
1096,2039,  0.599333
2039,5593,  0.599249
2039,2053,  0.598999
2039,4548,  0.598916
2039,5572,  0.598832
2039,3238,  0.598749
1447,2039,  0.598665
1321,2039,  0.598582
1056,2039,  0.598582
2039,2435,  0.598582
521,2039,  0.598498
2039,5871,  0.598498
580,2039,  0.598331
1695,2039,  0.598331
573,2039,  0.598247
2039,7027,  0.598080
2039,3410,  0.598080
2039,4297,  0.597997
2039,6302,  0.597913
2039,3848,  0.597829
2039,6437,  0.597829
859,2039,  0.597829
947,2039,  0.597746
2039,4118,  0.597746
2039,5590,  0.597662
614,2039,  0.597578
649,2039,  0.597578
2039,5750,  0.597578
2039,3073,  0.597495
2039,6024,  0.597495
2039,6619,  0.597495
2039,4291,  0.597411
2039,4945,  0.597411
2039,6202,  0.597411
795,2039,  0.597327
2039,3661,  0.597244
2039,4517,  0.597160
2039,5185,  0.597160
2039,5029,  0.597076
2039,5107,  0.597076
2039,5497,  0.596992
2039,2046,  0.596992
606,2039,  0.596909
2039,3825,  0.596825
2039,6613,  0.596825
1082,2039,  0.596657
2039,2711,  0.596574
2039,5058,  0.596574
2039,2361,  0.596490
2039,5505,  0.596490
2039,6334,  0.596490
572,2039,  0.596406
2039,6770,  0.596406
2039,2132,  0.596406
2039,6990,  0.596322
2039,2260,  0.596154
2039,6752,  0.596154
1949,2039,  0.596070
445,2039,  0.595987
2039,5125,  0.595987
2039,4687,  0.595903
1578,2039,  0.595903
31,2039,  0.595819
2039,6332,  0.595651
