2,702,1
157,71,1
628,77,1
57,571,1
117,102,1
10,693,1
45,126,1
297,1934,1
1589,34,1
504,7423,1
745,259,1
13,19,1
108,64,1
13,2135,1
66,136,1
447,922,1
7393,473,1
2073,1251,1
1240,298,1
2,91,1
3,7400,1
541,1637,1
107,2004,1
238,727,1
182,423,1
23,12,1
3,682,1
928,312,1
455,29,1
2033,368,1
33,42,1
1209,528,1
410,40,1
429,816,1
442,2495,1
113,557,1
155,638,1
172,18,1
80,104,1
331,696,1
14,896,1
256,2915,1
6,639,1
1023,761,1
345,116,1
1833,2,1
535,3515,1
1957,238,1
67,3028,1
952,97,1
7584,35,1
21,801,1
17,1163,1
788,627,1
1929,1934,1
472,403,1
14,603,1
390,40,1
2514,138,1
215,4,1
683,4,1
299,8,1
0,2337,1
287,92,1
2109,1009,1
785,281,1
5,52,1
12,1522,1
1683,3773,1
124,3395,1
175,1298,1
1032,176,1
50,1313,1
1229,3,1
56,613,1
322,2580,1
91,131,1
7433,57,1
1156,508,1
25,294,1
48,3288,1
145,8,1
814,35,1
1155,396,1
1908,4,1
128,1216,1
1768,630,1
143,1376,1
43,1,1
32,86,1
87,33,1
173,172,1
116,409,1
1172,171,1
64,6,1
232,34,1
323,2034,1
21,188,1
39,769,1
66,1842,1
6,122,1
330,0,1
80,33,1
86,95,1
17,7564,1
1412,222,1
1353,177,1
455,45,1
183,359,1
855,101,1
72,155,1
10,319,1
304,1021,1
62,2482,1
6,2922,1
16,450,1
189,48,1
1793,28,1
1779,213,1
1378,10,1
4310,866,1
176,594,1
1073,652,1
307,204,1
662,2334,1
797,68,1
7602,2144,1
2214,9,1
474,1,1
2,346,1
322,3,1
57,153,1
816,0,1
619,1116,1
2,719,1
128,1227,1
608,506,1
1930,272,1
221,390,1
765,103,1
256,1294,1
2855,65,1
21,734,1
13,106,1
21,2254,1
16,100,1
50,2142,1
1,66,1
23,1028,1
539,985,1
2019,1114,1
262,2579,1
2725,939,1
204,231,1
77,160,1
74,7,1
176,1547,1
127,579,1
2,1173,1
633,145,1
6,1035,1
39,176,1
153,42,1
44,2501,1
276,739,1
7589,30,1
1073,336,1
13,1733,1
10,6,1
25,631,1
1161,14,1
78,8,1
2416,86,1
870,13,1
237,98,1
